#   lamda     c0    c1      c2
 195.0640    3.8231E+01    8.7657E-03    1.5841E-04
 195.0740    3.8248E+01    1.0843E-02    1.8507E-04
 195.0840    3.8300E+01    1.5478E-02    2.5104E-04
 195.0940    3.8241E+01    1.1968E-02    1.9692E-04
 195.1040    3.8153E+01    8.1233E-03    1.4707E-04
 195.1140    3.8200E+01    1.2945E-02    2.1476E-04
 195.1240    3.8175E+01    1.2569E-02    2.0220E-04
 195.1340    3.8152E+01    1.2202E-02    1.9115E-04
 195.1440    3.8112E+01    1.2294E-02    2.0104E-04
 195.1540    3.8106E+01    1.2975E-02    2.0670E-04
 195.1640    3.8078E+01    1.3150E-02    2.1822E-04
 195.1740    3.8091E+01    1.4064E-02    2.2276E-04
 195.1840    3.8095E+01    1.4705E-02    2.3509E-04
 195.1940    3.8022E+01    1.3999E-02    2.4957E-04
 195.2040    3.7973E+01    1.4204E-02    2.6476E-04
 195.2140    3.7887E+01    1.1801E-02    2.4821E-04
 195.2240    3.7865E+01    1.0448E-02    2.2425E-04
 195.2340    3.7863E+01    1.1919E-02    2.4603E-04
 195.2440    3.7865E+01    1.1019E-02    2.2677E-04
 195.2540    3.7825E+01    9.7389E-03    2.1081E-04
 195.2640    3.7832E+01    9.9270E-03    2.0324E-04
 195.2740    3.7834E+01    1.0693E-02    1.9769E-04
 195.2840    3.7789E+01    1.0946E-02    1.9481E-04
 195.2940    3.7781E+01    9.8550E-03    1.5715E-04
 195.3040    3.7737E+01    8.9787E-03    1.4486E-04
 195.3140    3.7693E+01    9.4692E-03    1.6372E-04
 195.3240    3.7619E+01    7.9732E-03    1.6246E-04
 195.3340    3.7556E+01    7.4685E-03    1.7735E-04
 195.3440    3.7522E+01    6.9712E-03    1.8036E-04
 195.3540    3.7483E+01    8.8188E-03    2.2926E-04
 195.3640    3.7474E+01    8.9935E-03    2.2802E-04
 195.3740    3.7507E+01    8.6367E-03    1.9929E-04
 195.3840    3.7511E+01    9.5645E-03    2.0735E-04
 195.3940    3.7563E+01    1.1532E-02    2.1524E-04
 195.4040    3.7551E+01    1.2741E-02    2.3437E-04
 195.4140    3.7536E+01    1.1244E-02    2.0616E-04
 195.4240    3.7493E+01    1.1903E-02    2.3008E-04
 195.4340    3.7422E+01    1.2798E-02    2.6357E-04
 195.4440    3.7394E+01    1.2485E-02    2.5804E-04
 195.4540    3.7381E+01    1.3015E-02    2.5720E-04
 195.4640    3.7384E+01    1.2497E-02    2.3736E-04
 195.4740    3.7367E+01    9.8299E-03    1.7988E-04
 195.4840    3.7310E+01    6.7634E-03    1.3232E-04
 195.4940    3.7303E+01    6.7160E-03    1.2724E-04
 195.5040    3.7242E+01    6.9006E-03    1.5018E-04
 195.5141    3.7181E+01    6.4196E-03    1.5300E-04
 195.5241    3.7159E+01    6.3459E-03    1.6166E-04
 195.5341    3.7122E+01    6.1835E-03    1.6596E-04
 195.5441    3.7121E+01    5.0760E-03    1.3905E-04
 195.5541    3.7142E+01    4.5372E-03    1.0923E-04
 195.5641    3.7146E+01    5.7417E-03    1.1791E-04
 195.5741    3.7128E+01    7.6008E-03    1.4941E-04
 195.5841    3.7102E+01    8.6855E-03    1.6751E-04
 195.5941    3.7089E+01    9.4069E-03    1.7409E-04
 195.6041    3.7082E+01    9.2010E-03    1.6515E-04
 195.6141    3.7036E+01    8.6479E-03    1.6213E-04
 195.6241    3.7062E+01    8.4546E-03    1.3712E-04
 195.6341    3.7025E+01    8.2003E-03    1.4101E-04
 195.6441    3.6999E+01    9.1080E-03    1.6301E-04
 195.6541    3.6963E+01    1.0274E-02    1.9418E-04
 195.6641    3.6913E+01    8.5629E-03    1.7109E-04
 195.6741    3.6883E+01    7.4067E-03    1.5660E-04
 195.6841    3.6889E+01    8.3126E-03    1.6450E-04
 195.6941    3.6895E+01    8.1224E-03    1.5320E-04
 195.7041    3.6904E+01    8.2594E-03    1.4331E-04
 195.7141    3.6881E+01    8.1711E-03    1.4130E-04
 195.7241    3.6862E+01    7.6754E-03    1.2651E-04
